task_id,title,description,assigned_to,status,priority,project,client,task_type,created_date,due_date,estimated_hours,tags,notes
TASK-1028,Internal: Strategic Planning process improvement,Internal: Strategic Planning process improvement,James Wilson,In Progress,Medium,Training Program,Internal,Strategic Planning,2024-09-19,07/11/2024,2.5,quick-win,Discussed with Lisa Zhang on 06/10
TASK-1099,Fix bug in Marketing Campaign - Support Ticket,Fix bug in Marketing Campaign - Support Ticket,Ahmed Hassan,On Hold,Normal,Marketing Campaign,Manufacturing Ltd,Support Ticket,2024-09-10,2024-11-01,5,,See email thread from last week
TASK-1053,Fix production issue,Fix production issue,David Kim,Done,,Customer Success Initiative,Premier Healthcare,Meeting Follow-up,2024-09-26,2024-11-23,40,bug,Blocked by API Integration deployment
TASK-1085,Complete Support Ticket for Infrastructure Upgrade by EOW,Complete Support Ticket for Infrastructure Upgrade by EOW,Priya Patel,todo,P1,Infrastructure Upgrade,Acme Corp,Support Ticket,2024-09-16,2024-11-18,3,blocked,Quick fix - should take < 1hr
TASK-1056,Draft proposal for RetailCo,Draft proposal for RetailCo,Tom Anderson,Blocked,P2,Q4 Planning,RetailCo,Feature Development,2024-09-11,2024-10-19,2,urgent,
TASK-1076,Code review needed - Training Program,Code review needed - Training Program,Sarah Chen,In Progress,High,Training Program,,Code Review,2024-09-23,2024-11-01,16,feature,Blocked by Data Migration deployment
TASK-1033,Fix bug in Client Portal Redesign - Strategic Planning,Fix bug in Client Portal Redesign - Strategic Planning,Ahmed Hassan,Blocked,High,Client Portal Redesign,FinanceHub,Strategic Planning,2024-09-29,2024-11-17,1,documentation,Discussed with Rachel Brown on 01/10
TASK-1145,Client meeting follow-up: TechStart Inc needs Deployment,Client meeting follow-up: TechStart Inc needs Deployment,Lisa Zhang,Done,Urgent,Infrastructure Upgrade,TechStart Inc,Deployment,2024-09-15,2024-11-13,4,client-facing,Blocked by Infrastructure Upgrade deployment
TASK-1064,Fix production issue,Fix production issue,Rachel Brown,Done,Critical,Data Migration,N/A,Internal Process,2024-09-28,2024-11-26,2,feature,Customer requested urgent attention
TASK-1114,Client meeting follow-up: Manufacturing Ltd needs Meeting Follow-up,Client meeting follow-up: Manufacturing Ltd needs Meeting Follow-up,Marcus Johnson,Blocked,Normal,Customer Success Initiative,Manufacturing Ltd,Meeting Follow-up,2024-09-12,2024-11-02,1.5,technical,Part of larger Process Automation initiative
TASK-1093,Follow up with FinanceHub re: last meeting,Follow up with FinanceHub re: last meeting,Priya Patel,Blocked,high,Security Audit,FinanceHub,Documentation,2024-09-21,2024-11-10,1,client-facing,See email thread from last week
TASK-1143,Update on Infrastructure Upgrade status,Update on Infrastructure Upgrade status,Ahmed Hassan,Waiting for Input,High,Infrastructure Upgrade,EduTech Partners,Meeting Follow-up,2024-09-14,2024-10-22,2,needs-review,See email thread from last week
TASK-1058,Code review needed - Security Audit,Code review needed - Security Audit,Priya Patel,Done,Low,Security Audit,,Code Review,2024-09-23,November 06 2024,1,enhancement,Waiting for response from Premier Healthcare
TASK-1110,Fix bug in Process Automation - Deployment,Fix bug in Process Automation - Deployment,James Wilson,Done,Medium,Process Automation,FinanceHub,Deployment,2024-09-26,November 19 2024,0.5,urgent,Discussed with Elena Rodriguez on 03/10
TASK-1026,Review and update Mobile App Launch documentation,Review and update Mobile App Launch documentation,Ahmed Hassan,todo,high,Mobile App Launch,Premier Healthcare,Testing,2024-09-20,2024-11-04,2,,Dependencies: check with James Wilson first
TASK-1095,Complete Research for API Integration by EOW,Complete Research for API Integration by EOW,,Waiting for Input,Normal,API Integration,Acme Corp,Research,2024-09-14,2024-11-01,3,high-priority,Part of larger Customer Success Initiative initiative
TASK-1135,Urgent: Acme Corp escalation - Bug Fix,Urgent: Acme Corp escalation - Bug Fix,Ahmed Hassan,Done,P2,API Integration,Acme Corp,Bug Fix,2024-09-17,2024-11-03,40,urgent,Low priority - can wait until next sprint
TASK-1147,Urgent: Acme Corp escalation - Meeting Follow-up,Urgent: Acme Corp escalation - Meeting Follow-up,David Kim,To Do,Medium,Client Portal Redesign,Acme Corp,Meeting Follow-up,2024-09-30,2024-12-01,5,client-facing,Discussed with Marcus Johnson on 04/10
TASK-1149,Fix bug in Marketing Campaign - Client Request,Fix bug in Marketing Campaign - Client Request,Ahmed Hassan,Blocked,Medium,Marketing Campaign,N/A,Client Request,2024-10-01,2024-11-30,5,needs-review,Discussed with Marcus Johnson on 03/10
TASK-1022,Fix bug in Q4 Planning - Feature Development,Fix bug in Q4 Planning - Feature Development,Lisa Zhang,In Progress,Critical,Q4 Planning,Premier Healthcare,Feature Development,2024-09-24,2024-11-04,5,research,Quick fix - should take < 1hr
TASK-1050,Code review needed - Training Program,Code review needed - Training Program,,Done,P3,Training Program,EduTech Partners,Code Review,2024-09-22,06/11/2024,5,documentation,
TASK-1113,Complete Feature Development for Infrastructure Upgrade by EOW,Complete Feature Development for Infrastructure Upgrade by EOW,Marcus Johnson,Review,P1,Infrastructure Upgrade,,Feature Development,2024-09-17,November 14 2024,5,technical,Discussed with Tom Anderson on 03/10
TASK-1102,Code review needed - Security Audit,Code review needed - Security Audit,James Wilson,Cancelled,Urgent,Security Audit,,Code Review,2024-09-24,2024-11-07,1,technical,Discussed with Ahmed Hassan on 03/10
TASK-1146,Urgent: Manufacturing Ltd escalation - Client Request,Urgent: Manufacturing Ltd escalation - Client Request,James Wilson,Done,Normal,API Integration,Manufacturing Ltd,Client Request,2024-09-15,November 13 2024,3,needs-review,Low priority - can wait until next sprint
TASK-1079,Client meeting follow-up: RetailCo needs Research,Client meeting follow-up: RetailCo needs Research,Tom Anderson,Cancelled,Normal,Mobile App Launch,RetailCo,Research,2024-09-29,2024-12-04,1,bug,Waiting for response from FinanceHub
TASK-1032,Fix bug in Process Automation - Bug Fix,Fix bug in Process Automation - Bug Fix,Marcus Johnson,Blocked,P3,Process Automation,FinanceHub,Bug Fix,2024-09-23,2024-11-19,2,blocked,Quick fix - should take < 1hr
TASK-1136,Client meeting follow-up: Acme Corp needs Feature Development,Client meeting follow-up: Acme Corp needs Feature Development,Tom Anderson,In Progress,P3,Infrastructure Upgrade,Acme Corp,Feature Development,2024-09-25,2024-11-10,3,technical,Part of larger Training Program initiative
TASK-1035,Update on Process Automation status,Update on Process Automation status,Ahmed Hassan,To Do,High,Process Automation,Premier Healthcare,Feature Development,2024-09-25,2024-11-27,3,needs-review,Customer requested urgent attention
TASK-1083,Complete Feature Development for Client Portal Redesign by EOW,Complete Feature Development for Client Portal Redesign by EOW,James Wilson,Done,P3,Client Portal Redesign,TechStart Inc,Feature Development,2024-09-18,2024-10-31,8,research,Requires coordination with Lisa Zhang
TASK-1081,Complete Bug Fix for Training Program by EOW,Complete Bug Fix for Training Program by EOW,Marcus Johnson,To Do,high,Training Program,Manufacturing Ltd,Bug Fix,2024-09-17,2024-11-04,1.5,client-facing,Discussed with Priya Patel on 03/10
TASK-1141,Urgent: TechStart Inc escalation - Internal Process,Urgent: TechStart Inc escalation - Internal Process,Lisa Zhang,To Do,Medium,Mobile App Launch,TechStart Inc,Internal Process,2024-09-16,,5,urgent,Blocked by Mobile App Launch deployment
TASK-1140,Complete Testing for Infrastructure Upgrade by EOW,Complete Testing for Infrastructure Upgrade by EOW,David Kim,Done,P3,Infrastructure Upgrade,Acme Corp,Testing,2024-09-21,06/11/2024,5,low-effort,Discussed with Ahmed Hassan on 01/10
TASK-1027,Fix production issue,Fix production issue,Lisa Zhang,To Do,P2,Training Program,Internal,Strategic Planning,2024-09-14,31/10/2024,1.5,documentation,Unclear requirements - needs clarification
TASK-1117,Complete Support Ticket for Mobile App Launch by EOW,Complete Support Ticket for Mobile App Launch by EOW,Elena Rodriguez,Cancelled,Low,Mobile App Launch,,Support Ticket,2024-09-29,2024-11-27,3,urgent,Unclear requirements - needs clarification
TASK-1070,Code review needed - Mobile App Launch,Code review needed - Mobile App Launch,Lisa Zhang,Review,URGENT,Mobile App Launch,FinanceHub,Code Review,2024-09-29,2024-11-22,1,bug,Blocked by another project deployment
TASK-1120,Urgent: TechStart Inc escalation - Research,Urgent: TechStart Inc escalation - Research,Priya Patel,in progress,URGENT,Q4 Planning,TechStart Inc,Research,2024-09-25,November 15 2024,2,high-priority,Dependencies: check with Rachel Brown first
TASK-1072,Fix bug in Mobile App Launch - Documentation,Fix bug in Mobile App Launch - Documentation,Marcus Johnson,Done,Low,Mobile App Launch,FinanceHub,Documentation,2024-09-11,2024-10-21,1,blocked,Waiting for response from FinanceHub
TASK-1112,Fix bug in Infrastructure Upgrade - Research,Fix bug in Infrastructure Upgrade - Research,unassigned,On Hold,Medium,Infrastructure Upgrade,TechStart Inc,Research,2024-09-17,2024-10-30,2,client-facing,Dependencies: check with Tom Anderson first
TASK-1103,Review and update Security Audit documentation,Review and update Security Audit documentation,Rachel Brown,Waiting for Input,URGENT,Security Audit,Acme Corp,Code Review,2024-09-26,2024-11-22,0.5,urgent,Blocked by Mobile App Launch deployment
TASK-1016,Complete Internal Process for Mobile App Launch by EOW,Complete Internal Process for Mobile App Launch by EOW,David Kim,Done,Normal,Mobile App Launch,Global Solutions,Internal Process,2024-09-22,2024-11-03,24,documentation,Discussed with Elena Rodriguez on 05/10
TASK-1090,Urgent: N/A escalation - Strategic Planning,Urgent: N/A escalation - Strategic Planning,Priya Patel,Review,P1,Infrastructure Upgrade,N/A,Strategic Planning,2024-09-24,2024-11-08,2,feature,Unclear requirements - needs clarification
TASK-1060,Complete Internal Process for  by EOW,Complete Internal Process for  by EOW,Tom Anderson,Done,Critical,,FinanceHub,Internal Process,2024-09-23,November 18 2024,3,high-priority,Waiting for response from client
TASK-1084,Research options for Customer Success Initiative,Research options for Customer Success Initiative,Lisa Zhang,On Hold,P1,Customer Success Initiative,Acme Corp,Support Ticket,2024-10-01,2024-11-29,3,urgent,Part of larger Client Portal Redesign initiative
TASK-1109,Follow up with Acme Corp re: last meeting,Follow up with Acme Corp re: last meeting,Marcus Johnson,Review,Medium,Training Program,Acme Corp,Code Review,2024-09-13,2024-10-14,5,bug,Part of larger Customer Success Initiative initiative
TASK-1144,Update on Marketing Campaign status,Update on Marketing Campaign status,Tom Anderson,Done,Medium,Marketing Campaign,N/A,Bug Fix,2024-09-25,2024-11-15,0.5,urgent,Part of larger Mobile App Launch initiative
TASK-1043,Fix bug in Mobile App Launch - Bug Fix,Fix bug in Mobile App Launch - Bug Fix,Elena Rodriguez,In Progress,Normal,Mobile App Launch,EduTech Partners,Bug Fix,2024-09-17,2024-11-05,5,urgent,See email thread from last week
TASK-1046,Prepare demo for Acme Corp,Prepare demo for Acme Corp,Rachel Brown,Done,URGENT,Training Program,Acme Corp,Strategic Planning,2024-09-23,2024-11-19,5,urgent,Discussed with Lisa Zhang on 06/10
TASK-1115,Fix production issue,Fix production issue,David Kim,Done,Normal,Process Automation,Manufacturing Ltd,Bug Fix,2024-09-18,2024-11-01,4,,Part of larger Data Migration initiative
TASK-1057,Prepare demo for TechStart Inc,Prepare demo for TechStart Inc,David Kim,in progress,Normal,Infrastructure Upgrade,TechStart Inc,Documentation,2024-09-22,07/11/2024,5,documentation,Discussed with Rachel Brown on 04/10
TASK-1111,Follow up with TechStart Inc re: last meeting,Follow up with TechStart Inc re: last meeting,Marcus Johnson,In Progress,Low,Data Migration,TechStart Inc,Feature Development,2024-09-13,2024-10-25,2,blocked,See email thread from last week
TASK-1133,Code review needed - Client Portal Redesign,Code review needed - Client Portal Redesign,Ahmed Hassan,To Do,Medium,Client Portal Redesign,,Code Review,2024-09-27,November 20 2024,1,urgent,Low priority - can wait until next sprint
TASK-1036,Prepare demo for Premier Healthcare,Prepare demo for Premier Healthcare,Sarah Chen,Cancelled,P1,Infrastructure Upgrade,Premier Healthcare,Bug Fix,2024-09-26,2024-11-21,16,low-effort,Customer requested urgent attention
TASK-1107,Research options for Data Migration,Research options for Data Migration,James Wilson,Blocked,P3,Data Migration,Acme Corp,Bug Fix,2024-09-15,2024-11-02,2,research,Low priority - can wait until next sprint
TASK-1106,Draft proposal for EduTech Partners,Draft proposal for EduTech Partners,Marcus Johnson,To Do,Critical,Training Program,EduTech Partners,Feature Development,2024-09-20,November 03 2024,2.5,documentation,Unclear requirements - needs clarification
TASK-1080,Complete Deployment for Process Automation by EOW,Complete Deployment for Process Automation by EOW,Ahmed Hassan,Blocked,Critical,Process Automation,Acme Corp,Deployment,2024-09-26,2024-11-27,8,urgent,Requires coordination with Marcus Johnson
TASK-1138,Urgent: TechStart Inc escalation - Documentation,Urgent: TechStart Inc escalation - Documentation,Priya Patel,Waiting for Input,P2,Customer Success Initiative,TechStart Inc,Documentation,2024-09-15,2024-11-07,40,urgent,Customer requested urgent attention
TASK-1078,Update on Client Portal Redesign status,Update on Client Portal Redesign status,Ahmed Hassan,Review,Urgent,Client Portal Redesign,N/A,Internal Process,2024-09-18,31/10/2024,2.5,enhancement,Discussed with Lisa Zhang on 02/10
TASK-1134,Code review needed - Training Program,Code review needed - Training Program,David Kim,Cancelled,P3,Training Program,,Code Review,2024-09-15,2024-10-17,40,high-priority,Dependencies: check with Marcus Johnson first
TASK-1082,Urgent: TechStart Inc escalation - Support Ticket,Urgent: TechStart Inc escalation - Support Ticket,,Waiting for Input,P1,Infrastructure Upgrade,TechStart Inc,Support Ticket,2024-09-14,2024-10-20,4,technical,Low priority - can wait until next sprint
TASK-1131,Internal: Internal Process process improvement,Internal: Internal Process process improvement,David Kim,Waiting for Input,P3,Security Audit,Internal,Internal Process,2024-09-21,2024-11-04,2,quick-win,Waiting for response from EduTech Partners
TASK-1123,Follow up with EduTech Partners re: last meeting,Follow up with EduTech Partners re: last meeting,James Wilson,To Do,URGENT,Data Migration,EduTech Partners,Support Ticket,2024-09-13,2024-10-20,2,enhancement,See email thread from last week
TASK-1068,Fix production issue,Fix production issue,James Wilson,Review,Medium,Infrastructure Upgrade,Internal,Documentation,2024-09-23,November 12 2024,16,technical,Unclear requirements - needs clarification
TASK-1063,Update on Process Automation status,Update on Process Automation status,Tom Anderson,Done,Critical,Process Automation,Manufacturing Ltd,Internal Process,2024-09-25,2024-11-12,1.5,urgent,Waiting for response from TechStart Inc
TASK-1130,Complete Meeting Follow-up for API Integration by EOW,Complete Meeting Follow-up for API Integration by EOW,Tom Anderson,Waiting for Input,Low,API Integration,RetailCo,Meeting Follow-up,2024-09-21,November 13 2024,3,research,Part of larger Data Migration initiative
TASK-1087,Fix production issue,Fix production issue,Elena Rodriguez,In Progress,Normal,Customer Success Initiative,RetailCo,Meeting Follow-up,2024-09-23,,2,customer-success,Blocked by Client Portal Redesign deployment
TASK-1105,Draft proposal for TechStart Inc,Draft proposal for TechStart Inc,Tom Anderson,Done,Medium,Data Migration,TechStart Inc,Strategic Planning,2024-09-19,2024-11-11,8,,Discussed with Priya Patel on 03/10
TASK-1071,Complete Internal Process for Training Program by EOW,Complete Internal Process for Training Program by EOW,Tom Anderson,To Do,Urgent,Training Program,N/A,Internal Process,2024-09-18,2024-11-01,2,internal,Discussed with Sarah Chen on 04/10
TASK-1124,Urgent: TechStart Inc escalation - Testing,Urgent: TechStart Inc escalation - Testing,Ahmed Hassan,Cancelled,High,Marketing Campaign,TechStart Inc,Testing,2024-09-15,2024-10-23,2,needs-review,URGENT - deadline moved up
TASK-1097,Complete Documentation for Client Portal Redesign by EOW,Complete Documentation for Client Portal Redesign by EOW,Tom Anderson,Done,High,Client Portal Redesign,Internal,Documentation,2024-09-30,2024-11-28,40,low-effort,URGENT - deadline moved up
TASK-1017,Prepare demo for Global Solutions,Prepare demo for Global Solutions,Ahmed Hassan,Done,P3,Customer Success Initiative,Global Solutions,Meeting Follow-up,2024-09-25,2024-11-12,1.5,,Part of largest another project initiative
TASK-1029,Code review needed - Infrastructure Upgrade,Code review needed - Infrastructure Upgrade,Tom Anderson,On Hold,Medium,Infrastructure Upgrade,FinanceHub,Code Review,2024-09-21,November 10 2024,16,feature,Waiting for response from Global Solutions
TASK-1018,Complete Bug Fix for API Integration by EOW,Complete Bug Fix for API Integration by EOW,,Done,Urgent,API Integration,Acme Corp,Bug Fix,2024-09-23,06/11/2024,40,urgent,Customer requested urgent attention
TASK-1077,Research options for Customer Success Initiative,Research options for Customer Success Initiative,unassigned,Cancelled,Critical,Customer Success Initiative,Premier Healthcare,Testing,2024-09-26,November 21 2024,0.5,blocked,Discussed with James Wilson on 05/10
TASK-1132,Internal: Testing process improvement,Internal: Testing process improvement,unassigned,In Progress,high,Process Automation,Internal,Testing,2024-09-20,November 07 2024,24,quick-win,Blocked by Process Automation deployment
TASK-1086,Research options for Data Migration,Research options for Data Migration,unassigned,To Do,Low,,EduTech Partners,Strategic Planning,2024-09-28,2024-11-20,1,urgent,Unclear requirements - needs clarification
TASK-1024,Fix bug in API Integration - Research,Fix bug in API Integration - Research,James Wilson,To Do,Medium,API Integration,RetailCo,Research,2024-09-21,2024-11-12,3,technical,Requires coordination with Ahmed Hassan
TASK-1062,Research options for Security Audit,Research options for Security Audit,David Kim,On Hold,High,Security Audit,,Client Request,2024-09-30,2024-11-30,2,bug,Discussed with Lisa Zhang on 06/10
TASK-1101,Urgent: RetailCo escalation - Testing,Urgent: RetailCo escalation - Testing,Sarah Chen,Done,Urgent,Data Migration,RetailCo,Testing,2024-09-15,2024-10-30,4,client-facing,Low priority - can wait until next sprint
TASK-1118,Code review needed - Mobile App Launch,Code review needed - Mobile App Launch,David Kim,todo,P1,Mobile App Launch,Acme Corp,Code Review,2024-09-27,2024-11-25,2.5,technical,Blocked by another project deployment
TASK-1121,Fix bug in Data Migration - Support Ticket,Fix bug in Data Migration - Support Ticket,Ahmed Hassan,Blocked,Medium,Data Migration,N/A,Support Ticket,2024-09-19,2024-10-30,1.5,high-priority,Discussed with Marcus Johnson on 03/10
TASK-1074,Follow up with Manufacturing Ltd re: last meeting,Follow up with Manufacturing Ltd re: last meeting,James Wilson,In Progress,,API Integration,Manufacturing Ltd,Documentation,2024-09-27,November 29 2024,0.5,needs-review,Part of larger Training Program initiative
TASK-1119,Internal: Internal Process process improvement,Internal: Internal Process process improvement,Priya Patel,Done,Critical,Mobile App Launch,Internal,Internal Process,2024-09-18,2024-10-19,0.5,quick-win,Low priority - can wait until next sprint
TASK-1044,Fix bug in Data Migration - Bug Fix,Fix bug in Data Migration - Bug Fix,Sarah Chen,Done,Normal,Data Migration,Premier Healthcare,Bug Fix,2024-09-17,November 01 2024,1,blocked,URGENT - deadline moved up
TASK-1091,Draft proposal for Global Solutions,Draft proposal for Global Solutions,Ahmed Hassan,To Do,Urgent,Data Migration,Global Solutions,Meeting Follow-up,2024-09-27,2024-11-29,4,enhancement,Discussed with Sarah Chen on 07/10
TASK-1073,Client meeting follow-up: TechStart Inc needs Documentation,Client meeting follow-up: TechStart Inc needs Documentation,Lisa Zhang,Blocked,Medium,Mobile App Launch,TechStart Inc,Documentation,2024-09-11,2024-10-21,1.5,urgent,See email thread from last week
TASK-1041,Follow up with TechStart Inc re: last meeting,Follow up with TechStart Inc re: last meeting,James Wilson,Done,,API Integration,TechStart Inc,Documentation,2024-09-11,2024-10-21,8,urgent,Dependencies: check with Tom Anderson first
TASK-1098,Fix production issue,Fix production issue,Tom Anderson,To Do,High,Customer Success Initiative,N/A,Feature Development,2024-09-30,2024-11-28,8,urgent,Part of larger Mobile App Launch initiative
TASK-1052,Update on Marketing Campaign status,Update on Marketing Campaign status,Sarah Chen,Waiting for Input,Low,Marketing Campaign,,Strategic Planning,2024-09-24,2024-11-04,2.5,urgent,Unclear requirements - needs clarification
TASK-1031,Quarterly review prep,Quarterly review prep,Tom Anderson,Cancelled,Urgent,Training Program,Manufacturing Ltd,Meeting Follow-up,2024-09-24,2024-11-14,3,urgent,Dependencies: check with Tom Anderson first
TASK-1066,Fix bug in Client Portal Redesign - Meeting Follow-up,Fix bug in Client Portal Redesign - Meeting Follow-up,Lisa Zhang,In Progress,Critical,Client Portal Redesign,TechStart Inc,Meeting Follow-up,2024-09-22,2024-11-06,5,customer-success,Quick fix - should take < 1hr
TASK-1023,Fix bug in Process Automation - Internal Process,Fix bug in Process Automation - Internal Process,Marcus Johnson,On Hold,Medium,Process Automation,EduTech Partners,Internal Process,2024-09-24,2024-11-14,2,documentation,Unclear requirements - needs clarification
TASK-1137,Complete Support Ticket for Marketing Campaign by EOW,Complete Support Ticket for Marketing Campaign by EOW,Ahmed Hassan,On Hold,Critical,Marketing Campaign,,Support Ticket,2024-09-20,2024-11-03,0.5,low-effort,Discussed with David Kim on 05/10
TASK-1039,Quarterly review prep,Quarterly review prep,,Blocked,URGENT,Q4 Planning,,Support Ticket,2024-09-29,2024-11-29,2,bug,Waiting for response from client
TASK-1094,Client meeting follow-up: RetailCo needs Internal Process,Client meeting follow-up: RetailCo needs Internal Process,David Kim,Blocked,P2,Customer Success Initiative,RetailCo,Internal Process,2024-09-12,2024-10-14,5,needs-review,Requires coordination with Rachel Brown
TASK-1096,Follow up with FinanceHub re: last meeting,Follow up with FinanceHub re: last meeting,Marcus Johnson,Blocked,URGENT,,FinanceHub,Feature Development,2024-09-25,November 24 2024,0.5,blocked,Dependencies: check with James Wilson first
TASK-1049,Code review needed - Training Program,Code review needed - Training Program,Lisa Zhang,Done,Medium,Training Program,Premier Healthcare,Code Review,2024-09-22,November 10 2024,3,technical,Dependencies: check with Tom Anderson first
TASK-1116,Urgent: EduTech Partners escalation - Documentation,Urgent: EduTech Partners escalation - Documentation,unassigned,In Progress,High,Process Automation,EduTech Partners,Documentation,2024-09-24,2024-11-04,2,documentation,Waiting for response from client
TASK-1128,Draft proposal for Premier Healthcare,Draft proposal for Premier Healthcare,Lisa Zhang,Waiting for Input,Medium,,Premier Healthcare,Client Request,2024-09-19,2024-10-30,2.5,technical,Blocked by Customer Success Initiative deployment
TASK-1019,Fix bug in Customer Success Initiative - Strategic Planning,Fix bug in Customer Success Initiative - Strategic Planning,Rachel Brown,Cancelled,Medium,Customer Success Initiative,FinanceHub,Strategic Planning,2024-09-23,07/11/2024,2,bug,Part of larger Client Portal Redesign initiative
TASK-1059,Complete Documentation for Mobile App Launch by EOW,Complete Documentation for Mobile App Launch by EOW,unassigned,Done,P2,Mobile App Launch,Global Solutions,Documentation,2024-09-17,November 05 2024,4,urgent,Requires coordination with James Wilson
TASK-1021,Fix bug in Customer Success Initiative - Meeting Follow-up,Fix bug in Customer Success Initiative - Meeting Follow-up,Tom Anderson,On Hold,Critical,Customer Success Initiative,EduTech Partners,Meeting Follow-up,2024-09-13,2024-10-25,4,blocked,Customer requested urgent attention
TASK-1048,Internal: Internal Process process improvement,Internal: Internal Process process improvement,Marcus Johnson,In Progress,High,Data Migration,Internal,Internal Process,2024-09-15,2024-10-22,0.5,quick-win,Blocked by Data Migration deployment
TASK-1040,Fix bug in API Integration - Research,Fix bug in API Integration - Research,,Done,Normal,API Integration,TechStart Inc,Research,2024-09-30,2024-12-01,24,blocked,Blocked by Mobile App Launch deployment
TASK-1037,Fix production issue,Fix production issue,James Wilson,Done,Urgent,Customer Success Initiative,Premier Healthcare,Support Ticket,2024-09-18,2024-11-05,8,,Discussed with James Wilson on 07/10
TASK-1088,Client meeting follow-up: EduTech Partners needs Code Review,Client meeting follow-up: EduTech Partners needs Code Review,Ahmed Hassan,Review,P3,Customer Success Initiative,EduTech Partners,Code Review,2024-09-19,2024-10-31,3,client-facing,Blocked by Customer Success Initiative deployment
TASK-1045,Research options for Security Audit,Research options for Security Audit,Marcus Johnson,To Do,P2,Security Audit,,Support Ticket,2024-09-25,2024-11-10,0.5,documentation,Unclear requirements - needs clarification
TASK-1122,Internal: Testing process improvement,Internal: Testing process improvement,Ahmed Hassan,To Do,P1,Mobile App Launch,Internal,Testing,2024-09-28,2024-11-26,8,quick-win,Blocked by another project deployment
TASK-1025,Follow up with Acme Corp re: last meeting,Follow up with Acme Corp re: last meeting,Sarah Chen,Cancelled,URGENT,Security Audit,Acme Corp,Feature Development,2024-09-19,2024-11-01,5,high-priority,Customer requested urgent attention
TASK-1054,Update on Q4 Planning status,Update on Q4 Planning status,unassigned,In Progress,High,Q4 Planning,,Internal Process,2024-09-24,2024-11-09,16,urgent,Discussed with Sarah Chen on 05/10
TASK-1042,Urgent: Manufacturing Ltd escalation - Code Review,Urgent: Manufacturing Ltd escalation - Code Review,unassigned,Waiting for Input,Normal,API Integration,Manufacturing Ltd,Code Review,2024-09-19,2024-11-06,4,urgent,See email thread from last week
TASK-1030,Code review needed - Training Program,Code review needed - Training Program,unassigned,Cancelled,High,Training Program,N/A,Code Review,2024-09-30,November 28 2024,2.5,technical,Customer requested urgent attention
TASK-1067,Quarterly review prep,Quarterly review prep,James Wilson,Blocked,Low,Training Program,N/A,Documentation,2024-09-17,2024-10-28,3,urgent,Part of larger Client Portal Redesign initiative
TASK-1020,Code review needed - Infrastructure Upgrade,Code review needed - Infrastructure Upgrade,David Kim,In Progress,P2,Infrastructure Upgrade,Global Solutions,Code Review,2024-09-29,2024-11-22,3,technical,Part of larger Marketing Campaign initiative
TASK-1129,Fix bug in Data Migration - Bug Fix,Fix bug in Data Migration - Bug Fix,Marcus Johnson,Waiting for Input,URGENT,Data Migration,Manufacturing Ltd,Bug Fix,2024-09-18,2024-11-02,24,urgent,See email thread from last week
TASK-1069,Complete Strategic Planning for Mobile App Launch by EOW,Complete Strategic Planning for Mobile App Launch by EOW,Ahmed Hassan,In Progress,Low,Mobile App Launch,Acme Corp,Strategic Planning,2024-09-17,2024-11-07,8,enhancement,Quick fix - should take < 1hr
